codigo,descricao,cd_mun
776,MACUCO,3302452
777,ESPERANTINOPOLIS,2104008
778,PINHEIRAL,3303955
779,FORTALEZA DOS NOGUEIRAS,2104107
780,PORTO REAL,3304110
781,FORTUNA,2104206
782,SAO FRANCISCO DE ITABAPOANA,3304755
783,GODOFREDO VIANA,2104305
784,SAO JOSE DE UBA,3305133
785,GONCALVES DIAS,2104404
786,SEROPEDICA,3305554
787,GOVERNADOR ARCHER,2104503
788,TANGUA,3305752
789,GOVERNADOR EUGENIO BARROS,2104602
790,ARCO-IRIS,3503356
791,GRACA ARANHA,2104701
792,BREJO ALEGRE,3507753
793,GRAJAU,2104800
794,CANAS,3509957
795,GUIMARAES,2104909
796,FERNAO,3515657
797,HUMBERTO DE CAMPOS,2105005
798,GAVIAO PEIXOTO,3516853
799,ICATU,2105104
800,IPIGUA,3521150
801,IGARAPE GRANDE,2105203
802,JUMIRIM,3525854
803,IMPERATRIZ,2105302
804,NANTES,3532157
805,SAO LUIS GONZAGA DO MARANHAO,2111409
806,NOVA CASTILHO,3532868
807,ITAPECURU MIRIM,2105401
808,OUROESTE,3534757
